countries,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Brazil,4297.82385399312,3739.91938942857,3693.27582014833,3279.68639609452,3584.07401646004,3245.57315217104,3154.72055184122,2363.5112024022,1613.13692305826,1581.62542312949,4716.61412549824,3976.61916776916,3696.14677192256,
China,1864.10270222039,1105.95255695671,774.884634037432,475.928869661473,341.021293511227,208.170863491313,149.66006823476,128.934979893935,99.0801230616385,72.3249273149585,2426.33246633954,1464.10762700312,949.178062082992,
Iran,2125.03025238419,1679.66439805233,1484.66602266377,1445.852455639,1241.64750201368,1477.01185152704,2204.42045612243,1793.57465688276,1117.21826803939,,,1906.59005390127,1550.09060785641,
Malawi,157.621367614219,142.391447858489,155.373892404938,129.360235983862,138.371882570601,147.791025339285,153.275311906547,140.893352705692,126.008610334396,101.996530434011,180.902295640664,149.484329878294,155.271544474367,
Russia,2888.84735487466,1967.5186024261,1590.69649953949,2106.22376150602,,,,,,,2928.00503306304,2442.96296613797,1775.14129079602,
